file_name,function_name,weight
frame_system,fn remark(), 10_159_000
frame_system,fn remark_with_event(), 43_110_000
frame_system,fn set_heap_pages(), 16_774_000
frame_system,fn set_storage(), 0
frame_system,fn kill_storage(), 0
frame_system,fn kill_prefix(), 0
pallet_assets,fn create(), 67_652_000
pallet_assets,fn force_create(), 42_913_000
pallet_assets,fn destroy(), 0
pallet_assets,fn mint(), 79_751_000
pallet_assets,fn burn(), 87_879_000
pallet_assets,fn transfer(), 120_280_000
pallet_assets,fn transfer_keep_alive(), 102_628_000
pallet_assets,fn force_transfer(), 119_285_000
pallet_assets,fn freeze(), 55_920_000
pallet_assets,fn thaw(), 54_789_000
pallet_assets,fn freeze_asset(), 46_806_000
pallet_assets,fn thaw_asset(), 45_819_000
pallet_assets,fn transfer_ownership(), 51_614_000
pallet_assets,fn set_team(), 44_414_000
pallet_assets,fn set_metadata(), 80_932_000
pallet_assets,fn clear_metadata(), 78_592_000
pallet_assets,fn force_set_metadata(), 48_794_000
pallet_assets,fn force_clear_metadata(), 77_392_000
pallet_assets,fn force_asset_status(), 41_538_000
pallet_assets,fn approve_transfer(), 85_683_000
pallet_assets,fn transfer_approved(), 148_237_000
pallet_assets,fn cancel_approval(), 87_571_000
pallet_assets,fn force_cancel_approval(), 92_533_000
pallet_assets_ext,fn create_asset(), 37_376_000
pallet_bags_list,fn rebag_non_terminal(), 40_667_000
pallet_bags_list,fn rebag_terminal(), 40_022_000
pallet_bags_list,fn put_in_front_of(), 44_796_000
pallet_balances,fn transfer(), 92_107_000
pallet_balances,fn transfer_keep_alive(), 82_555_000
pallet_balances,fn set_balance_creating(), 52_933_000
pallet_balances,fn set_balance_killing(), 61_750_000
pallet_balances,fn force_transfer(), 92_235_000
pallet_balances,fn transfer_all(), 100_171_000
pallet_balances,fn force_unreserve(), 49_763_000
pallet_dex,fn swap_with_exact_supply(), 72_000_000
pallet_dex,fn swap_with_exact_target(), 71_000_000
pallet_dex,fn add_liquidity(), 146_000_000
pallet_dex,fn remove_liquidity(), 118_000_000
pallet_dex,fn reenable_trading_pair(), 19_000_000
pallet_dex,fn disable_trading_pair(), 19_000_000
pallet_dex,fn set_fee_to(), 12_000_000
pallet_echo,fn ping(), 21_741_000
pallet_election_provider_multi_phase,fn on_initialize_nothing(), 11_374_000
pallet_election_provider_multi_phase,fn on_initialize_open_signed(), 10_123_000
pallet_election_provider_multi_phase,fn on_initialize_open_unsigned(), 8_829_000
pallet_election_provider_multi_phase,fn finalize_signed_phase_accept_solution(), 20_395_000
pallet_election_provider_multi_phase,fn finalize_signed_phase_reject_solution(), 26_274_000
pallet_election_provider_multi_phase,fn create_snapshot_internal(), 33_997_000
pallet_election_provider_multi_phase,fn elect_queued(), 60_001_000
pallet_election_provider_multi_phase,fn submit(), 37_026_000
pallet_election_provider_multi_phase,fn submit_unsigned(), 0
pallet_election_provider_multi_phase,fn feasibility_check(), 0
pallet_erc20_peg,fn activate_deposits(), 2_500_000
pallet_erc20_peg,fn activate_withdrawals(), 2_412_000
pallet_erc20_peg,fn withdraw(), 42_406_000
pallet_erc20_peg,fn set_contract_address(), 8_079_000
pallet_erc20_peg,fn set_erc20_meta(), 2_893_000
pallet_erc20_peg,fn set_payment_delay(), 8_240_000
pallet_evm_chain_id,fn set_chain_id(), 18_000_000
pallet_fee_control,fn set_evm_base_fee(), 2_533_000
pallet_fee_control,fn set_weight_multiplier(), 2_490_000
pallet_futurepass,fn create(), 40_604_000
pallet_futurepass,fn register_delegate_with_signature(), 61_120_000
pallet_futurepass,fn unregister_delegate(), 39_133_000
pallet_futurepass,fn transfer_futurepass(), 34_404_000
pallet_futurepass,fn proxy_extrinsic(), 13_794_000
pallet_im_online,fn validate_unsigned_and_then_heartbeat(), 54_739_000
pallet_nft,fn claim_unowned_collection(), 45_000_000
pallet_nft,fn set_owner(), 42_000_000
pallet_nft,fn set_max_issuance(), 39_000_000
pallet_nft,fn set_base_uri(), 40_000_000
pallet_nft,fn set_name(), 25_273_000
pallet_nft,fn register_marketplace(), 39_000_000
pallet_nft,fn create_collection(), 71_000_000
pallet_nft,fn mint(), 45_000_000
pallet_nft,fn transfer(), 51_000_000
