Pallet,function_name,weight
frame_benchmarking,fn addition(), 1_108_000
frame_benchmarking,fn subtraction(), 1_186_000
frame_benchmarking,fn multiplication(), 1_117_000
frame_benchmarking,fn division(), 1_105_000
frame_benchmarking,fn hashing(), 47_984_099
frame_benchmarking,fn sr25519_verification(), 90_350_000
frame_benchmarking,fn storage_read(), 1_147_000
frame_benchmarking,fn storage_write(), 1_236_000
frame_system,fn remark(), 12_377_000
frame_system,fn remark_with_event(), 37_000_000
frame_system,fn set_heap_pages(), 25_544_000
frame_system,fn set_storage(), 15_772_000
frame_system,fn kill_storage(), 15_782_000
frame_system,fn kill_prefix(), 21_685_000
pallet_assets,fn create(), 83_915_000
pallet_assets,fn force_create(), 53_967_000
pallet_assets,fn destroy(), 182_474_283
pallet_assets,fn mint(), 100_217_000
pallet_assets,fn burn(), 112_935_000
pallet_assets,fn transfer(), 143_730_000
pallet_assets,fn transfer_keep_alive(), 120_350_000
pallet_assets,fn force_transfer(), 144_361_000
pallet_assets,fn freeze(), 69_952_000
pallet_assets,fn thaw(), 70_135_000
pallet_assets,fn freeze_asset(), 60_594_000
pallet_assets,fn thaw_asset(), 60_444_000
pallet_assets,fn transfer_ownership(), 68_986_000
pallet_assets,fn set_team(), 64_014_000
pallet_assets,fn set_metadata(), 104_108_000
pallet_assets,fn clear_metadata(), 109_434_000
pallet_assets,fn force_set_metadata(), 66_067_000
pallet_assets,fn force_clear_metadata(), 107_570_000
pallet_assets,fn force_asset_status(), 62_467_000
pallet_assets,fn approve_transfer(), 105_592_000
pallet_assets,fn transfer_approved(), 182_236_000
pallet_assets,fn cancel_approval(), 118_850_000
pallet_assets,fn force_cancel_approval(), 120_042_000
pallet_assets_ext,fn create_asset(), 180_974_000
pallet_bags_list,fn rebag_non_terminal(), 164_091_000
pallet_bags_list,fn rebag_terminal(), 166_351_000
pallet_bags_list,fn put_in_front_of(), 169_021_000
pallet_balances,fn transfer(), 100_968_000
pallet_balances,fn transfer_keep_alive(), 91_370_000
pallet_balances,fn set_balance_creating(), 66_006_000
pallet_balances,fn set_balance_killing(), 75_233_000
pallet_balances,fn force_transfer(), 100_607_000
pallet_balances,fn transfer_all(), 105_384_000
pallet_balances,fn force_unreserve(), 59_611_000
pallet_dex,fn swap_with_exact_supply(), 221_397_000
pallet_dex,fn swap_with_exact_target(), 222_667_000
pallet_dex,fn add_liquidity(), 436_665_000
pallet_dex,fn remove_liquidity(), 353_123_000
pallet_dex,fn reenable_trading_pair(), 70_177_000
pallet_dex,fn disable_trading_pair(), 70_556_000
pallet_dex,fn set_fee_to(), 43_071_000
pallet_echo,fn ping(), 89_768_000
